location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,8.5,8.6
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,8.6,8.7
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,8.7,8.8
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,8.8,8.9
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,8.9,9.0
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,9.0,9.1
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,9.1,9.2
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,9.2,9.3
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,9.3,9.4
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,9.4,9.5
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,9.5,9.6
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,9.6,9.7
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,9.7,9.8
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,9.8,9.9
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,9.9,10.0
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,10.0,10.1
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,10.1,10.2
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,10.2,10.3
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,10.3,10.4
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,10.4,10.5
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,10.5,10.6
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,10.6,10.7
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,10.7,10.8
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,10.8,10.9
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,10.9,11.0
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,11.0,11.1
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,11.1,11.2
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,11.2,11.3
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,11.3,11.4
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,11.4,11.5
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,11.5,11.6
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,11.6,11.7
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,11.7,11.8
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,11.8,11.9
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,11.9,12.0
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,12.0,12.1
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,12.1,12.2
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,12.2,12.3
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,12.3,12.4
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,12.4,12.5
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,12.5,12.6
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,12.6,12.7
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,12.7,12.8
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,12.8,12.9
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,12.9,13.0
HHS Region 4,4 wk ahead,percent,5.28042737072514e-11,Bin,13.0,100.0
HHS Region 5,Season onset,week,3.42799946137197e-05,Bin,40.0,41.0
HHS Region 5,Season onset,week,0.000109486639520679,Bin,41.0,42.0
HHS Region 5,Season onset,week,0.000325273501681573,Bin,42.0,43.0
HHS Region 5,Season onset,week,0.000840991998631086,Bin,43.0,44.0
HHS Region 5,Season onset,week,0.0106516086493895,Bin,44.0,45.0
HHS Region 5,Season onset,week,0.0219677943980065,Bin,45.0,46.0
HHS Region 5,Season onset,week,0.0369730615463414,Bin,46.0,47.0
HHS Region 5,Season onset,week,0.0574955619381498,Bin,47.0,48.0
HHS Region 5,Season onset,week,0.10099053379577,Bin,48.0,49.0
HHS Region 5,Season onset,week,0.115933902817399,Bin,49.0,50.0
HHS Region 5,Season onset,week,0.118309551808035,Bin,50.0,51.0
HHS Region 5,Season onset,week,0.0947162538482594,Bin,51.0,52.0
HHS Region 5,Season onset,week,0.0859241978678358,Bin,52.0,53.0
HHS Region 5,Season onset,week,0.0665160277022587,Bin,1.0,2.0
HHS Region 5,Season onset,week,0.0402267575322905,Bin,2.0,3.0
HHS Region 5,Season onset,week,0.0441476859982908,Bin,3.0,4.0
HHS Region 5,Season onset,week,0.0404014108900787,Bin,4.0,5.0
HHS Region 5,Season onset,week,0.0334762449717896,Bin,5.0,6.0
HHS Region 5,Season onset,week,0.0330573757458248,Bin,6.0,7.0
HHS Region 5,Season onset,week,0.0319531411915446,Bin,7.0,8.0
HHS Region 5,Season onset,week,0.0236388962738019,Bin,8.0,9.0
HHS Region 5,Season onset,week,0.0163566224871879,Bin,9.0,10.0
HHS Region 5,Season onset,week,0.0100164669096701,Bin,10.0,11.0
HHS Region 5,Season onset,week,0.00525188085184624,Bin,11.0,12.0
HHS Region 5,Season onset,week,0.00302443997625877,Bin,12.0,13.0
HHS Region 5,Season onset,week,0.000897791068187855,Bin,13.0,14.0
HHS Region 5,Season onset,week,0.000291905672440868,Bin,14.0,15.0
HHS Region 5,Season onset,week,8.71135253695993e-05,Bin,15.0,16.0
HHS Region 5,Season onset,week,6.57465253702843e-05,Bin,16.0,17.0
HHS Region 5,Season onset,week,6.57465253702843e-05,Bin,17.0,18.0
HHS Region 5,Season onset,week,6.57465253702843e-05,Bin,18.0,19.0
HHS Region 5,Season onset,week,6.57465253702843e-05,Bin,19.0,20.0
HHS Region 5,Season onset,week,6.57465253702843e-05,Bin,20.0,21.0
HHS Region 5,Season onset,week,0.00605500777267472,Bin,none,none
HHS Region 5,Season peak week,week,0.000355757392036871,Bin,40.0,41.0
HHS Region 5,Season peak week,week,0.000355757392036871,Bin,41.0,42.0
HHS Region 5,Season peak week,week,0.000355757392036871,Bin,42.0,43.0
HHS Region 5,Season peak week,week,0.000355757392036871,Bin,43.0,44.0
HHS Region 5,Season peak week,week,0.000887598215284541,Bin,44.0,45.0
HHS Region 5,Season peak week,week,0.000355757392036871,Bin,45.0,46.0
HHS Region 5,Season peak week,week,0.000355757392036871,Bin,46.0,47.0
HHS Region 5,Season peak week,week,0.00195127986177988,Bin,47.0,48.0
HHS Region 5,Season peak week,week,0.000887598215284541,Bin,48.0,49.0
HHS Region 5,Season peak week,week,0.00354680233152289,Bin,49.0,50.0
HHS Region 5,Season peak week,week,0.00613824096373287,Bin,50.0,51.0
HHS Region 5,Season peak week,week,0.0234522471607109,Bin,51.0,52.0
HHS Region 5,Season peak week,week,0.0493334234137675,Bin,52.0,53.0
HHS Region 5,Season peak week,week,0.0399396313881319,Bin,1.0,2.0
HHS Region 5,Season peak week,week,0.0471493346400889,Bin,2.0,3.0
HHS Region 5,Season peak week,week,0.0506635599345399,Bin,3.0,4.0
HHS Region 5,Season peak week,week,0.0842894000801816,Bin,4.0,5.0
HHS Region 5,Season peak week,week,0.131703526245674,Bin,5.0,6.0
HHS Region 5,Season peak week,week,0.147404063714376,Bin,6.0,7.0
HHS Region 5,Season peak week,week,0.12671225926519,Bin,7.0,8.0
HHS Region 5,Season peak week,week,0.0887008757057186,Bin,8.0,9.0
HHS Region 5,Season peak week,week,0.0666855964144916,Bin,9.0,10.0
HHS Region 5,Season peak week,week,0.0617131812132818,Bin,10.0,11.0
HHS Region 5,Season peak week,week,0.0400382748607927,Bin,11.0,12.0
HHS Region 5,Season peak week,week,0.0169962535930424,Bin,12.0,13.0
HHS Region 5,Season peak week,week,0.00561008163974463,Bin,13.0,14.0
HHS Region 5,Season peak week,week,0.00270768140591088,Bin,14.0,15.0
HHS Region 5,Season peak week,week,0.00111215893616787,Bin,15.0,16.0
HHS Region 5,Season peak week,week,4.84772896725338e-05,Bin,16.0,17.0
HHS Region 5,Season peak week,week,4.84772896725338e-05,Bin,17.0,18.0
HHS Region 5,Season peak week,week,4.84772896725338e-05,Bin,18.0,19.0
HHS Region 5,Season peak week,week,4.84772896725338e-05,Bin,19.0,20.0
HHS Region 5,Season peak week,week,4.84772896725338e-05,Bin,20.0,21.0
HHS Region 5,Season peak percentage,percent,4.64347990144518e-06,Bin,0.0,0.1
HHS Region 5,Season peak percentage,percent,9.28695980289036e-06,Bin,0.1,0.2
HHS Region 5,Season peak percentage,percent,9.28695980289035e-06,Bin,0.2,0.3
HHS Region 5,Season peak percentage,percent,9.28695980289035e-06,Bin,0.3,0.4
HHS Region 5,Season peak percentage,percent,9.28695980289035e-06,Bin,0.4,0.5
HHS Region 5,Season peak percentage,percent,9.28695980289036e-06,Bin,0.5,0.6
HHS Region 5,Season peak percentage,percent,9.28695980289036e-06,Bin,0.6,0.7
HHS Region 5,Season peak percentage,percent,9.28695980289036e-06,Bin,0.7,0.8
HHS Region 5,Season peak percentage,percent,9.28695980289036e-06,Bin,0.8,0.9
HHS Region 5,Season peak percentage,percent,9.28695980289036e-06,Bin,0.9,1.0
HHS Region 5,Season peak percentage,percent,9.28695980289036e-06,Bin,1.0,1.1
HHS Region 5,Season peak percentage,percent,9.28695980289036e-06,Bin,1.1,1.2
HHS Region 5,Season peak percentage,percent,9.42760696118804e-06,Bin,1.2,1.3
HHS Region 5,Season peak percentage,percent,1.58738110995469e-05,Bin,1.3,1.4
HHS Region 5,Season peak percentage,percent,0.000704286827694301,Bin,1.4,1.5
HHS Region 5,Season peak percentage,percent,5.86105962405074e-05,Bin,1.5,1.6
HHS Region 5,Season peak percentage,percent,0.000102270964836065,Bin,1.6,1.7
HHS Region 5,Season peak percentage,percent,0.000840266503231972,Bin,1.7,1.8
HHS Region 5,Season peak percentage,percent,0.000930663618691618,Bin,1.8,1.9
HHS Region 5,Season peak percentage,percent,0.00172018170071311,Bin,1.9,2.0
HHS Region 5,Season peak percentage,percent,0.00388059538615212,Bin,2.0,2.1
HHS Region 5,Season peak percentage,percent,0.00875744371895544,Bin,2.1,2.2
HHS Region 5,Season peak percentage,percent,0.0076131457612758,Bin,2.2,2.3
HHS Region 5,Season peak percentage,percent,0.0132590936145941,Bin,2.3,2.4
HHS Region 5,Season peak percentage,percent,0.0156651021961329,Bin,2.4,2.5
HHS Region 5,Season peak percentage,percent,0.0209889195009125,Bin,2.5,2.6
HHS Region 5,Season peak percentage,percent,0.0293719283259966,Bin,2.6,2.7
HHS Region 5,Season peak percentage,percent,0.0268457897135537,Bin,2.7,2.8
HHS Region 5,Season peak percentage,percent,0.047852946075736,Bin,2.8,2.9
HHS Region 5,Season peak percentage,percent,0.0487078685332943,Bin,2.9,3.0
HHS Region 5,Season peak percentage,percent,0.0474782805089669,Bin,3.0,3.1
HHS Region 5,Season peak percentage,percent,0.0553265105102175,Bin,3.1,3.2
HHS Region 5,Season peak percentage,percent,0.0617264740707194,Bin,3.2,3.3
HHS Region 5,Season peak percentage,percent,0.0701980565855851,Bin,3.3,3.4
HHS Region 5,Season peak percentage,percent,0.0587248984091134,Bin,3.4,3.5
HHS Region 5,Season peak percentage,percent,0.0586022404630219,Bin,3.5,3.6
HHS Region 5,Season peak percentage,percent,0.0536058725493232,Bin,3.6,3.7
HHS Region 5,Season peak percentage,percent,0.04190059426854,Bin,3.7,3.8
HHS Region 5,Season peak percentage,percent,0.0454039355883877,Bin,3.8,3.9
HHS Region 5,Season peak percentage,percent,0.0457681536742684,Bin,3.9,4.0
HHS Region 5,Season peak percentage,percent,0.0273124964617066,Bin,4.0,4.1
HHS Region 5,Season peak percentage,percent,0.0260483875075604,Bin,4.1,4.2
HHS Region 5,Season peak percentage,percent,0.0273772004771629,Bin,4.2,4.3
HHS Region 5,Season peak percentage,percent,0.02328127252822,Bin,4.3,4.4
HHS Region 5,Season peak percentage,percent,0.0177500436498207,Bin,4.4,4.5
HHS Region 5,Season peak percentage,percent,0.0113568506214886,Bin,4.5,4.6
HHS Region 5,Season peak percentage,percent,0.0100465260437902,Bin,4.6,4.7
HHS Region 5,Season peak percentage,percent,0.00497857570088536,Bin,4.7,4.8
HHS Region 5,Season peak percentage,percent,0.00886921780537659,Bin,4.8,4.9
HHS Region 5,Season peak percentage,percent,0.00485606610822082,Bin,4.9,5.0
HHS Region 5,Season peak percentage,percent,0.00502006753384525,Bin,5.0,5.1
HHS Region 5,Season peak percentage,percent,0.0079896886081166,Bin,5.1,5.2
HHS Region 5,Season peak percentage,percent,0.00498730944853372,Bin,5.2,5.3
HHS Region 5,Season peak percentage,percent,0.00404455060497369,Bin,5.3,5.4
HHS Region 5,Season peak percentage,percent,0.00376526055564164,Bin,5.4,5.5
HHS Region 5,Season peak percentage,percent,0.00611532151803235,Bin,5.5,5.6
HHS Region 5,Season peak percentage,percent,0.00432164863431411,Bin,5.6,5.7
HHS Region 5,Season peak percentage,percent,0.00373781810865068,Bin,5.7,5.8
HHS Region 5,Season peak percentage,percent,0.00503083984895376,Bin,5.8,5.9
HHS Region 5,Season peak percentage,percent,0.00283510666944817,Bin,5.9,6.0
HHS Region 5,Season peak percentage,percent,0.00323946675713418,Bin,6.0,6.1
HHS Region 5,Season peak percentage,percent,0.00224922442012339,Bin,6.1,6.2
HHS Region 5,Season peak percentage,percent,0.00192221341242451,Bin,6.2,6.3
HHS Region 5,Season peak percentage,percent,0.00161516212474891,Bin,6.3,6.4
HHS Region 5,Season peak percentage,percent,0.00134415182155905,Bin,6.4,6.5
HHS Region 5,Season peak percentage,percent,0.00111257160908387,Bin,6.5,6.6
HHS Region 5,Season peak percentage,percent,0.00293384551918754,Bin,6.6,6.7
HHS Region 5,Season peak percentage,percent,0.000745072553501929,Bin,6.7,6.8
HHS Region 5,Season peak percentage,percent,0.000594581232732863,Bin,6.8,6.9
HHS Region 5,Season peak percentage,percent,0.000460771469394974,Bin,6.9,7.0
HHS Region 5,Season peak percentage,percent,0.00168918855996626,Bin,7.0,7.1
HHS Region 5,Season peak percentage,percent,0.000244821710107472,Bin,7.1,7.2
HHS Region 5,Season peak percentage,percent,0.00083845399467809,Bin,7.2,7.3
HHS Region 5,Season peak percentage,percent,0.000106034917574781,Bin,7.3,7.4
HHS Region 5,Season peak percentage,percent,6.40054177641223e-05,Bin,7.4,7.5
HHS Region 5,Season peak percentage,percent,3.6370627935927e-05,Bin,7.5,7.6
HHS Region 5,Season peak percentage,percent,1.9421086658085e-05,Bin,7.6,7.7
HHS Region 5,Season peak percentage,percent,9.73266579406363e-06,Bin,7.7,7.8
HHS Region 5,Season peak percentage,percent,4.58072458098e-06,Bin,7.8,7.9
HHS Region 5,Season peak percentage,percent,2.02545955797172e-06,Bin,7.9,8.0
HHS Region 5,Season peak percentage,percent,8.48635180683023e-07,Bin,8.0,8.1
HHS Region 5,Season peak percentage,percent,3.63092081998951e-07,Bin,8.1,8.2
HHS Region 5,Season peak percentage,percent,2.32559699560591e-07,Bin,8.2,8.3
HHS Region 5,Season peak percentage,percent,3.55779946155063e-07,Bin,8.3,8.4
HHS Region 5,Season peak percentage,percent,8.25488787230168e-07,Bin,8.4,8.5
HHS Region 5,Season peak percentage,percent,1.96395741196583e-06,Bin,8.5,8.6
HHS Region 5,Season peak percentage,percent,4.43377846959854e-06,Bin,8.6,8.7
HHS Region 5,Season peak percentage,percent,9.38795636819624e-06,Bin,8.7,8.8
HHS Region 5,Season peak percentage,percent,1.86172642206771e-05,Bin,8.8,8.9
HHS Region 5,Season peak percentage,percent,3.45946801911341e-05,Bin,8.9,9.0
HHS Region 5,Season peak percentage,percent,6.02489232240295e-05,Bin,9.0,9.1
HHS Region 5,Season peak percentage,percent,9.82747626140595e-05,Bin,9.1,9.2
HHS Region 5,Season peak percentage,percent,0.000150165908697653,Bin,9.2,9.3
HHS Region 5,Season peak percentage,percent,0.000214987244438374,Bin,9.3,9.4
HHS Region 5,Season peak percentage,percent,0.000288341989487095,Bin,9.4,9.5
HHS Region 5,Season peak percentage,percent,0.000362299328988598,Bin,9.5,9.6
HHS Region 5,Season peak percentage,percent,0.000426498688695917,Bin,9.6,9.7
HHS Region 5,Season peak percentage,percent,0.000470323284547525,Bin,9.7,9.8
HHS Region 5,Season peak percentage,percent,0.000485905913453648,Bin,9.8,9.9
HHS Region 5,Season peak percentage,percent,0.000470328867707413,Bin,9.9,10.0
HHS Region 5,Season peak percentage,percent,0.000426487230537829,Bin,10.0,10.1
HHS Region 5,Season peak percentage,percent,0.000362299608758946,Bin,10.1,10.2
HHS Region 5,Season peak percentage,percent,0.000288344495861315,Bin,10.2,10.3
HHS Region 5,Season peak percentage,percent,0.000214982615835204,Bin,10.3,10.4
HHS Region 5,Season peak percentage,percent,0.000150171049879913,Bin,10.4,10.5
HHS Region 5,Season peak percentage,percent,9.8276784866127e-05,Bin,10.5,10.6
HHS Region 5,Season peak percentage,percent,6.02468312340211e-05,Bin,10.6,10.7
HHS Region 5,Season peak percentage,percent,3.45973714028978e-05,Bin,10.7,10.8
HHS Region 5,Season peak percentage,percent,1.8618581141267e-05,Bin,10.8,10.9
HHS Region 5,Season peak percentage,percent,9.38513349217032e-06,Bin,10.9,11.0
HHS Region 5,Season peak percentage,percent,5.57521229818547e-06,Bin,11.0,11.1
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,11.1,11.2
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,11.2,11.3
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,11.3,11.4
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,11.4,11.5
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,11.5,11.6
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,11.6,11.7
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,11.7,11.8
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,11.8,11.9
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,11.9,12.0
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,12.0,12.1
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,12.1,12.2
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,12.2,12.3
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,12.3,12.4
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,12.4,12.5
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,12.5,12.6
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,12.6,12.7
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,12.7,12.8
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,12.8,12.9
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,12.9,13.0
HHS Region 5,Season peak percentage,percent,5.49206696405074e-06,Bin,13.0,100.0
HHS Region 5,1 wk ahead,percent,3.17037851035381e-10,Bin,0.0,0.1
HHS Region 5,1 wk ahead,percent,6.34075702070761e-10,Bin,0.1,0.2
HHS Region 5,1 wk ahead,percent,6.34075702070761e-10,Bin,0.2,0.3
HHS Region 5,1 wk ahead,percent,6.34075702070761e-10,Bin,0.3,0.4
HHS Region 5,1 wk ahead,percent,9.47346528668372e-10,Bin,0.4,0.5
HHS Region 5,1 wk ahead,percent,9.24474599127003e-09,Bin,0.5,0.6
HHS Region 5,1 wk ahead,percent,4.00341937918935e-08,Bin,0.6,0.7
HHS Region 5,1 wk ahead,percent,0.00200006337036796,Bin,0.7,0.8
HHS Region 5,1 wk ahead,percent,0.0350000276834534,Bin,0.8,0.9
HHS Region 5,1 wk ahead,percent,0.106999976011201,Bin,0.9,1.0
HHS Region 5,1 wk ahead,percent,0.252999909776196,Bin,1.0,1.1
HHS Region 5,1 wk ahead,percent,0.279999924546046,Bin,1.1,1.2
HHS Region 5,1 wk ahead,percent,0.156999989970771,Bin,1.2,1.3
HHS Region 5,1 wk ahead,percent,0.114999974644624,Bin,1.3,1.4
HHS Region 5,1 wk ahead,percent,0.0250000016256786,Bin,1.4,1.5
HHS Region 5,1 wk ahead,percent,0.0129999953384508,Bin,1.5,1.6
HHS Region 5,1 wk ahead,percent,0.00999999390901002,Bin,1.6,1.7
HHS Region 5,1 wk ahead,percent,0.00299999908404043,Bin,1.7,1.8
HHS Region 5,1 wk ahead,percent,8.58511269716506e-09,Bin,1.8,1.9
HHS Region 5,1 wk ahead,percent,2.61756273640227e-08,Bin,1.9,2.0
HHS Region 5,1 wk ahead,percent,3.03132764731491e-08,Bin,2.0,2.1
HHS Region 5,1 wk ahead,percent,1.41994898409828e-08,Bin,2.1,2.2
HHS Region 5,1 wk ahead,percent,2.84796247269561e-09,Bin,2.2,2.3
HHS Region 5,1 wk ahead,percent,2.52741518450042e-10,Bin,2.3,2.4
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,2.4,2.5
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,2.5,2.6
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,2.6,2.7
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,2.7,2.8
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,2.8,2.9
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,2.9,3.0
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,3.0,3.1
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,3.1,3.2
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,3.2,3.3
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,3.3,3.4
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,3.4,3.5
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,3.5,3.6
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,3.6,3.7
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,3.7,3.8
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,3.8,3.9
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,3.9,4.0
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,4.0,4.1
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,4.1,4.2
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,4.2,4.3
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,4.3,4.4
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,4.4,4.5
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,4.5,4.6
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,4.6,4.7
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,4.7,4.8
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,4.8,4.9
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,4.9,5.0
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,5.0,5.1
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,5.1,5.2
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,5.2,5.3
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,5.3,5.4
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,5.4,5.5
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,5.5,5.6
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,5.6,5.7
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,5.7,5.8
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,5.8,5.9
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,5.9,6.0
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,6.0,6.1
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,6.1,6.2
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,6.2,6.3
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,6.3,6.4
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,6.4,6.5
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,6.5,6.6
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,6.6,6.7
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,6.7,6.8
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,6.8,6.9
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,6.9,7.0
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,7.0,7.1
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,7.1,7.2
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,7.2,7.3
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,7.3,7.4
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,7.4,7.5
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,7.5,7.6
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,7.6,7.7
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,7.7,7.8
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,7.8,7.9
HHS Region 5,1 wk ahead,percent,8.61719608882139e-11,Bin,7.9,8.0
HHS Region 5,1 wk ahead,percent,8.61719608882146e-11,Bin,8.0,8.1
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,8.1,8.2
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,8.2,8.3
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,8.3,8.4
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,8.4,8.5
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,8.5,8.6
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,8.6,8.7
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,8.7,8.8
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,8.8,8.9
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,8.9,9.0
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,9.0,9.1
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,9.1,9.2
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,9.2,9.3
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,9.3,9.4
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,9.4,9.5
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,9.5,9.6
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,9.6,9.7
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,9.7,9.8
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,9.8,9.9
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,9.9,10.0
HHS Region 5,1 wk ahead,percent,8.61719608882154e-11,Bin,10.0,10.1
